INSERT INTO empleado (e_nombre, e_apellido,e_ci,e_salario,ti_cod) VALUES 
('Ruben','Caro',4460935,91391,1),
('Ruben','Herrera',14561377,20286,1),
('Esperanza','Tenorio',11855548,51372,1),
('Montserrat','Plaza',4451816,60118,1),
('Francisco Jose','Barriga',7996845,68573,2),
('Joaquin','Carbajo',16484523,31495,2),
('Xavier','Arteaga',11703230,53440,2),
('Concepción','Escamilla',11445636,79962,2),
('Dolores','Pedrero',13885020,81522,3),
('David','Paz',10692914,94230,3),
('Yolanda','Corral',15739523,69257,3),
('Luis Miguel','Saavedra',9184940,52997,3),
('Luís','Bravo',17688839,23807,4),
('Domingo','Barbero',19389775,72872,4),
('Emilio','Guardiola',4460639,53657,4),
('Paula','Carpio',8293390,55599,4),
('Salvador','Casado',8176091,81022,5),
('Gema','Alcalá',15612524,54381,5),
('Rosa','Cabañas',3257951,37951,5),
('Santiago','Duarte',20164078,49679,5),
('Vicente','Infante',17353741,46016,6),
('Alejandra','Talavera',18267230,42990,6),
('Jose Ramon','Bosch',14589568,64180,6),
('Eduardo','Infante',19487281,87630,6),
('Juan Luis','Valera',2084392,47388,7),
('Cesar','Cortes',4524501,43243,7),
('Lourdes','Iriarte',14092359,28301,7),
('Paula','Ponce',21688524,21592,7),
('Jose Maria','Zapata',14240128,34595,8),
('Mercedes','Pons',9570041,38766,8),
('Luisa','Coll',17292978,37666,8),
('Mario','Lamas',17558724,99157,8),
('Nieves','Valero',6620065,90790,9),
('Cristina','Castelló',4227146,53949,9),
('Amparo','Bernat',12711177,80574,9),
('Carlos','Sáez',3079331,88685,9),
('Concepción','Villalonga',9683529,31742,10),
('Patricia','Villena',20980210,71207,10),
('Nieves','Orozco',1336015,11189,10),
('Fernando','Prats',6241611,40447,10),
('Alba','Baena',18392061,89291,11),
('Angela','Carreño',1183011,44152,11),
('Susana','Busquets',11005896,35575,11),
('Marta','Martin',21595699,77629,11),
('Tomás','Céspedes',8727063,94947,12),
('Daniela','Blanca',16402204,59660,12),
('Jordi','Cal',1079834,55910,12),
