INSERT INTO tarjetacredito (tc_num,tc_fvenc,tc_codseg,tc_ncompl,cn_id) VALUES
(5227484222053649,'17-02-2019',148,'Paula Mendizábal-Ojeda',1),
(36321306341528,'01-11-2020',960,'Gregorio Arévalo-Rozas',2),
(5220928911156391,'15-11-2025',254,'Alfonso Carreño-Verdejo',3),
(4600303857406,'23-06-2018',956,'Encarnacion Donaire Palacios',4),
(6530895658086292,'22-12-2025',797,'Mercedes del Oller',5),
(503865562113,'07-04-2023',729,'Juana Paula Cornejo Hoz',6),
(562096225007,'30-09-2022',851,'Mercedes Llobet Montaña',7),
(4337778224897030,'19-09-2027',781,'Verónica Andrea Arnaiz Ferrán',8),
(4119093300171340,'07-11-2027',983,'Óscar Alcázar Pareja',9),
(4674800873789218,'01-09-2018',530,'Lourdes Palacio',10),
(4614756011254007,'05-10-2027',892,'Nieves Carbonell Sacristán',11),
(3528853844146034,'28-11-2019',230,'Jose Miguel Llamas Castelló',12),
(3563976537283966,'28-10-2024',412,'Jose Ignacio Cano Osuna',13),
(6011360825216213,'06-07-2024',427,'Adrián Busquets-Tomas',14),
(38442947267803,'10-07-2018',8350,'Begoña Arce Berrocal',15),
(5579061515546994,'03-12-2022',777,'Pilar Contreras',16),
(6508491400969544,'05-06-2021',394,'Juan Manuel Lumbreras Maldonado',17),
(371427864561861,'22-11-2027',678,'Jose Manuel Alfonso Boix Valero',18),
(4081018789304504,'21-07-2020',115,'Asunción Ropero-Prats',19),
(6590417592042914,'07-12-2018',054,'Juan Antonio Mayol Olivares',20),
(4942392924552544,'30-09-2025',017,'Claudia Sacristán Castrillo',21),
(5125682888588088,'06-01-2026',192,'Susana Arrieta Artigas',22),
(4980410343058829,'18-11-2020',674,'Juan José del Suarez',23),
(4684872475566219,'17-04-2027',920,'Jose Miguel Gutiérrez Villena',24),
(3553308541087948,'10-10-2026',680,'Paula Pinto-Cabo',25),
(4527438533429534,'11-01-2028',4321,'Mercedes Barbero Múgica',26),
(3561239282159580,'08-06-2026',985,'Laura Perales Sánchez',27),
(30549023608508,'20-07-2025',269,'Jose Ignacio Sanmiguel Rico',28),
(676218046495,'30-06-2025',705,'Juan Manuel Cerro Amaya',29),
(5160688127373659,'17-10-2022',372,'Carolina Barros-Ribas',30),
(4277400196911,'17-11-2021',853,'Amparo Bayona Armas',31),
(375824411582216,'21-12-2027',433,'Domingo Pla Ibáñez',32),
(4071311052735468,'06-04-2021',206,'Fátima Izaguirre Camps',33),
(180012986619481,'15-08-2026',6652,'Diego Diego Pablo Huguet',34),
(630477751220,'06-12-2025',937,'Trinidad de Rojas',35),
(374377061546305,'19-11-2023',3513,'Soledad Peral Canales',36),
(5459790509865748,'13-02-2019',690,'Miriam Estrada Sarabia',37),
(30390143482130,'17-08-2022',183,'Josep Cantón-Villena',38),
(30182753055722,'03-10-2018',498,'Laura de Jiménez',39),
(4685857228804685,'12-04-2019',639,'Alejandra Beltran Taboada',40),
(4463343862690,'24-02-2027',447,'Ignacio Quero Peinado',41),
(4528429709971,'07-02-2025',025,'Soledad Nuria Montoya Falcón',42),
(36166322832525,'05-05-2026',6822,'Elisa Molina Martín',43),
(6585902552095496,'31-05-2027',985,'Lucía de Codina',44),
(3599327897855571,'17-04-2026',999,'Ines Teruel Codina',45),
(501887440011,'10-06-2020',343,'Concepción Baeza Portillo',46),
(503802947146,'14-07-2021',911,'Rafael Campoy',47),
(4243978671420,'09-06-2028',816,'Gabriel del Roda',48),
(4499237163316,'10-02-2027',807,'Margarita de Huerta',49),
(4611275589877084,'11-12-2024',136,'Remedios Nieto',50),
(6011981990053626,'19-05-2023',048,'Jesús Mancebo Lastra',51),
(4393321131497,'21-07-2027',700,'Jorge Urrutia Belda',52),
(639037064917,'09-06-2028',8674,'Victoria Noriega Marin',53),
(3521852116758614,'16-07-2026',987,'Montserrat Mendizábal Roda',54),
(630468149525,'07-11-2024',178,'Raquel Ripoll',55),
(3591437262403531,'11-05-2025',743,'Emilia Virginia Benavente López',56),
(6011590602810909,'30-07-2027',223,'Clara Avilés Robledo',57),
(4179004545479,'05-12-2026',234,'Luisa Lucía Serna Recio',58),
(349514996240735,'16-07-2027',696,'Josep Torrecilla Arévalo',59),
(568897759508,'01-10-2025',035,'Enrique Casas Cabezas',60),
