INSERT INTO usuario (u_username, u_password,cn_id) VALUES 
('ibanezmanuel','q)75(Uc_#*',1),
('fernandoferreras','&3w^pXwsCM',2),
('xavier34','OhK7WnDuF!',3),
('angelacanellas','#SJwX1B)c1',4),
('magdalena64','L2a!SeiX(+',5),
('lrobles','Ike(OG^z%6',6),
('concepcion89','Q#2zwQwZPn',7),
('ana41','BBGN3Ipaa%',8),
('miroignacio','*QN0SPi^&v',9),
('lmuro','cCU5GBQkw(',10),
('icarlos','!XJD(q*Ey3',11),
('luisverdu','w_W9Ckna1^',12),
('cristian80','3*N19Dxn(W',13),
('alvarezignacio','+2Kd4n9iSx',14),
('luis-miguelnicolas','Yn&Ta5ReiL',15),
('garnaiz','QmZ8Fu)c@q',16),
('alfredo00','+C*Ea6BoCB',17),
('rosa73','*6CmPOmRH5',18),
('rayajose-luis','xocFvtC9R)',19),
('victoria39','alm+8ShOF^',20),
('ramonlidia','!b1H6FdUUD',21),
('patriciacadenas','%MgVcsH@t1',22),
('sarmientomario','j6VJZ2ad$6',23),
('jose-manuelconde','nu$9B$Pz+W',24),
('segoviajoan','7QGXyfbb!n',25),
('rafaelbarcena','6R98U2(tj@',26),
('hazcona','Kk!M4Gsa*!',27),
('baqueroalvaro','rI!6OFmy^M',28),
('ucal','0+8TeUAjR&',29),
('msandoval','hN2lLasL(c',30),
('amparobelda','(aKo_2qZ2I',31),
('alicia53','f6s+jCmn%W',32),
('dolorespino','4@6FGY8gng',33),
('rociomarcos','n91yFGSo@n',34),
('tellezvicente','^0SIcsCIgR',35),
('abellaalex',')B0!JNKf3!',36),
('valdeselisa','^lP_zp%+S6',37),
('gteruel','!53hdzJlhA',38),
('joaquin62','(1IpU^Xwoc',39),
('gisbertjuan-francisco','p3fAIzzp%u',40),
('carolinaiglesia','&17NiEauSw',41),
('zbarrio','#@139Po_ZE',42),
('pzorrilla','5&6AlcqsqQ',43),
('clara61','15*RQpYC+%',44),
('zcardenas','t@2#Em@g#L',45),
('joaquin88','7FIOMb8*%2',46),
('redondoremedios','MrZ^3NyC#9',47),
('eduardorodriguez','^0#0Hkqij^',48),
('pujolconsuelo','$8V!jkOGx%',49),
('floresjose-ramon','$S_0AMaIKE',50),
('colomajoan','y7q)aMy&%M',51),
('vsamper','oo9AsWm(1_',52),
('carla84','xx7fWs)9(7',53),
('ignacio58','!tG^Ave3S8',54),
('armasconsuelo','!hj$GkNoT5',55),
('felix82','+7$GaHx_hF',56),
('luis-miguelolmedo',')vkYog@Cv8',57),
('ginerismael','_p3(Gpwlgy',58),
('cmontenegro','m7^5f6BcQ$',59),
('salmeronrafael','71bp5ReZ%0',60),
('ireneheras','(BoQk1Pu!g',61),
('domingo50','_pUUFpJd3h',62),
('barcenaagustin','*fRyYPz^0j',63),
('rociogrande','iqh1W(ms(h',64),
('qparejo','*f1R)G@wsS',65),
('bferrer','s8PvPV+U)d',66),
('juan-francisco23','R(i6&ODXhm',67),
('soleangela','8kY9Mh8*@(',68),
('oamaya','Ns55)ZgR*a',69),
('juan-luis18','$&3ShVFb@3',70),
('esperanzaguzman','&U6WQv6_%Q',71),
('jaimepoza','A^LE5aoqFQ',72),
('carmen91','k3X!cbZ%$(',73),
('tellezantonia','uL8h6En^h#',74),
('zmoliner','026gNCvR0(',75),
('eugenia30','^9BOWagm!i',76),
('angela00','%3Gri2IiG*',77),
('luis33','(73cKSUlFW',78),
('paula83','P(i7Sw*uKq',79),
('antoniosureda','5RAhw$Ho)S',80),
('adrian03','^7TQ9xZopn',81),
('nicolas67','Oa*93PCzRZ',82),

INSERT INTO usuario (u_username, u_password,cj_id) VALUES 
('lucia10','Jf93Mau+f_',1),
('carolinapareja','_05FRfCaGQ',2),
('santosramon','z7GSp*uq^*',3),
('jose-luisminguez','0%Y9wAqa$@',4),
('mireia97','1_m(AIw@(#',5),
('ftrujillo','Z8wJ)b8n(M',6),
('sandra41','^k3SZtjM_P',7),
('kugarte','gRTO79Bjc)',8),
('salvadormontoya','+W6^)2Mc+!',9),
('vicenta90','*RXr3Cm#1a',10),
('carrionnieves','_)7#9QIbVc',11),
('auroravalencia','%8TFGF9f^u',12),
('remedios47','quk2Qh8)+W',13),
('blanca76','+jtMkcpEX0',14),
('salvadorcristian','ZDWD63rbH#',15),
('xcapdevila','E4hLsS&6_9',16),
('tlobo','oOX4(Z8cI+',17),
('yrebollo','LY0Ijw22M@',18),
('lealjulian','9Xq)rFqs@T',19),
('mariaalcala','^D0OW3Ehuj',20),
('ricardoroma','@iWPhjuf$5',21),
('gabrielledesma','2ecJ4NAj!p',22),
('colomafelix','_O^PYHz44)',23),
('lllobet','^LOb0DbA$3',24),
('marcos38','^w%qPg(l+5',25),
('evillalonga','D&1SHcGvz7',26),
('paniaguamonica','!0kXB%eOGH',27),
('lladoalberto','1u5xrZph)u',28),
('qcruz','zqw1aYlt3&',29),
('qpadilla','^s!0TLjtqG',30),
('danglada','_kZ6fj&31y',31),
('wpujol','_0cr0D2u_Q',32),
('juana26','YtJ4#E5t^I',33),
('seguragabriel',')5xXds7MyL',34),
('uromero','7&Q0FgEU5l',35),
('ayalasofia','#kEvxybnB8',36),
('anaabril','i1(^^Xzx%k',37),
('asuncion46','%E#9yG8q0y',38),
('mariomendez','u6*Rst&s+x',39),
('uborras','&9gjYKv&Nl',40),
('ycespedes','+9SxAY7rGa',41),
('milagros52','Sp5xe8Qw*6',42),
('ecorbacho','V#$C6bOp&r',43),
('laurabastida','@fDR!hvMA5',44),
('jose-ignaciollano','b1#W)UIx@a',45),
('aitor49','(s9P!68f$G',46),
('blanca66','k)8KNJvdel',47),
('luis-miguel92','9+EB9^ow%6',48),
('jpriego','3N7OYzSqb#',49),
('orueda','7_6p6wTs&R',50),
('qpineiro','N!PaS5Tx%t',51),
('pablo35','2hb(xyNi+O',52),
('paulavaldes','^ez#7HGsol',53),
('palauvirginia','#4O0r+Za4R',54),
('raquel52','#dS_2zYmqV',55),
('mireiabarreda','*4RPqm#ei+',56),
('lpina',')H)1S8ZoCZ',57),
('ribanez','_wDY^Kx$c3',58),
('carbocarlos','*779JGQwB&',59),
('rbolanos','6&9PjuR!1k',60),
